route_type,from_city,to_city,distance_mi,drive_time_min,company_travel_time_min,slug,is_active,house_size,min_cost,max_cost,avg_cost,movers,trucks,min_hours,max_hours
city_to_city,miami,coral-gables,6,7,22,miami-to-coral-gables,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,coral-gables,6,7,22,miami-to-coral-gables,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,coral-gables,6,7,22,miami-to-coral-gables,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,coral-gables,6,7,22,miami-to-coral-gables,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,coral-gables,6,7,22,miami-to-coral-gables,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,doral,12,13,22,miami-to-doral,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,doral,12,13,22,miami-to-doral,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,doral,12,13,22,miami-to-doral,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,doral,12,13,22,miami-to-doral,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,doral,12,13,22,miami-to-doral,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,aventura,15,17,22,miami-to-aventura,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,aventura,15,17,22,miami-to-aventura,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,aventura,15,17,22,miami-to-aventura,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,aventura,15,17,22,miami-to-aventura,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,aventura,15,17,22,miami-to-aventura,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,bal-harbour,11,12,22,miami-to-bal-harbour,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,bal-harbour,11,12,22,miami-to-bal-harbour,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,bal-harbour,11,12,22,miami-to-bal-harbour,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,bal-harbour,11,12,22,miami-to-bal-harbour,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,bal-harbour,11,12,22,miami-to-bal-harbour,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,bay-harbor-islands,10,11,22,miami-to-bay-harbor-islands,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,bay-harbor-islands,10,11,22,miami-to-bay-harbor-islands,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,bay-harbor-islands,10,11,22,miami-to-bay-harbor-islands,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,bay-harbor-islands,10,11,22,miami-to-bay-harbor-islands,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,bay-harbor-islands,10,11,22,miami-to-bay-harbor-islands,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,cutler-bay,17,19,22,miami-to-cutler-bay,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,cutler-bay,17,19,22,miami-to-cutler-bay,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,cutler-bay,17,19,22,miami-to-cutler-bay,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,cutler-bay,17,19,22,miami-to-cutler-bay,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,cutler-bay,17,19,22,miami-to-cutler-bay,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,el-portal,7,8,22,miami-to-el-portal,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,el-portal,7,8,22,miami-to-el-portal,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,el-portal,7,8,22,miami-to-el-portal,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,el-portal,7,8,22,miami-to-el-portal,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,el-portal,7,8,22,miami-to-el-portal,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
