route_type,origin_name,origin_zip,destination_name,destination_zip,distance_mi,drive_time_min,company_travel_time_min,slug,is_active,house_size,min_cost,max_cost,avg_cost,movers,trucks,min_hours,max_hours
city_to_city,miami,33101,coral-gables,33134,5.9,21,19,miami-to-coral-gables,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,coral-gables,33134,5.9,21,19,miami-to-coral-gables,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,coral-gables,33134,5.9,21,19,miami-to-coral-gables,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,coral-gables,33134,5.9,21,19,miami-to-coral-gables,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,coral-gables,33134,5.9,21,19,miami-to-coral-gables,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,doral,33122,10.0,21,19,miami-to-doral,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,doral,33122,10.0,21,19,miami-to-doral,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,doral,33122,10.0,21,19,miami-to-doral,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,doral,33122,10.0,21,19,miami-to-doral,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,doral,33122,10.0,21,19,miami-to-doral,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,aventura,33160,15.5,29,19,miami-to-aventura,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,aventura,33160,15.5,29,19,miami-to-aventura,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,aventura,33160,15.5,29,19,miami-to-aventura,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,aventura,33160,15.5,29,19,miami-to-aventura,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,aventura,33160,15.5,29,19,miami-to-aventura,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,bal-harbour,33154,12.8,27,19,miami-to-bal-harbour,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,bal-harbour,33154,12.8,27,19,miami-to-bal-harbour,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,bal-harbour,33154,12.8,27,19,miami-to-bal-harbour,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,bal-harbour,33154,12.8,27,19,miami-to-bal-harbour,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,bal-harbour,33154,12.8,27,19,miami-to-bal-harbour,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,bay-harbor-islands,33154,12.8,27,19,miami-to-bay-harbor-islands,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,bay-harbor-islands,33154,12.8,27,19,miami-to-bay-harbor-islands,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,bay-harbor-islands,33154,12.8,27,19,miami-to-bay-harbor-islands,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,bay-harbor-islands,33154,12.8,27,19,miami-to-bay-harbor-islands,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,bay-harbor-islands,33154,12.8,27,19,miami-to-bay-harbor-islands,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,cutler-bay,33157,22.8,39,19,miami-to-cutler-bay,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,cutler-bay,33157,22.8,39,19,miami-to-cutler-bay,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,cutler-bay,33157,22.8,39,19,miami-to-cutler-bay,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,cutler-bay,33157,22.8,39,19,miami-to-cutler-bay,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,cutler-bay,33157,22.8,39,19,miami-to-cutler-bay,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,el-portal,33138,7.2,16,19,miami-to-el-portal,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,el-portal,33138,7.2,16,19,miami-to-el-portal,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,el-portal,33138,7.2,16,19,miami-to-el-portal,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,el-portal,33138,7.2,16,19,miami-to-el-portal,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,el-portal,33138,7.2,16,19,miami-to-el-portal,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,florida-city,33034,42.1,51,19,miami-to-florida-city,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,florida-city,33034,42.1,51,19,miami-to-florida-city,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,florida-city,33034,42.1,51,19,miami-to-florida-city,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,florida-city,33034,42.1,51,19,miami-to-florida-city,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,florida-city,33034,42.1,51,19,miami-to-florida-city,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,golden-beach,33160,15.5,29,19,miami-to-golden-beach,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,golden-beach,33160,15.5,29,19,miami-to-golden-beach,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,golden-beach,33160,15.5,29,19,miami-to-golden-beach,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,golden-beach,33160,15.5,29,19,miami-to-golden-beach,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,golden-beach,33160,15.5,29,19,miami-to-golden-beach,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,hialeah,33010,8.7,17,19,miami-to-hialeah,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,hialeah,33010,8.7,17,19,miami-to-hialeah,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,hialeah,33010,8.7,17,19,miami-to-hialeah,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,hialeah,33010,8.7,17,19,miami-to-hialeah,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,hialeah,33010,8.7,17,19,miami-to-hialeah,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,hialeah-gardens,33018,28.1,32,19,miami-to-hialeah-gardens,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,hialeah-gardens,33018,28.1,32,19,miami-to-hialeah-gardens,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,hialeah-gardens,33018,28.1,32,19,miami-to-hialeah-gardens,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,hialeah-gardens,33018,28.1,32,19,miami-to-hialeah-gardens,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,hialeah-gardens,33018,28.1,32,19,miami-to-hialeah-gardens,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,homestead,33030,42.7,55,19,miami-to-homestead,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,homestead,33030,42.7,55,19,miami-to-homestead,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,homestead,33030,42.7,55,19,miami-to-homestead,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,homestead,33030,42.7,55,19,miami-to-homestead,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,homestead,33030,42.7,55,19,miami-to-homestead,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,indian-creek,33154,12.8,27,19,miami-to-indian-creek,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,indian-creek,33154,12.8,27,19,miami-to-indian-creek,True,2_bedroom,1052,1412,1232,2,1,4.7,6.7
city_to_city,miami,33101,indian-creek,33154,12.8,27,19,miami-to-indian-creek,True,3_bedroom,1824,2244,2034,3,1,7.7,9.7
city_to_city,miami,33101,indian-creek,33154,12.8,27,19,miami-to-indian-creek,True,4_bedroom,2056,2536,2296,4,1,7.7,9.7
city_to_city,miami,33101,indian-creek,33154,12.8,27,19,miami-to-indian-creek,True,4plus_bedroom,3016,3496,3256,4,1,11.7,13.7
city_to_city,miami,33101,key-biscayne,33149,7.3,15,19,miami-to-key-biscayne,True,1_bedroom,1052,1412,1232,2,1,4.7,6.7
