route_type,origin_name,origin_zip,destination_name,destination_zip,distance_mi,drive_time_min,company_travel_time_min,slug,is_active,house_size,min_cost,max_cost,avg_cost,movers,trucks,min_hours,max_hours
long_distance,miami,33101,fort-lauderdale,33301,27.8,36,,miami-to-fort-lauderdale,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,fort-lauderdale,33301,27.8,36,,miami-to-fort-lauderdale,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,fort-lauderdale,33301,27.8,36,,miami-to-fort-lauderdale,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,fort-lauderdale,33301,27.8,36,,miami-to-fort-lauderdale,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,fort-lauderdale,33301,27.8,36,,miami-to-fort-lauderdale,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,hollywood-fl,33019,21.9,30,,miami-to-hollywood-fl,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,hollywood-fl,33019,21.9,30,,miami-to-hollywood-fl,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,hollywood-fl,33019,21.9,30,,miami-to-hollywood-fl,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,hollywood-fl,33019,21.9,30,,miami-to-hollywood-fl,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,hollywood-fl,33019,21.9,30,,miami-to-hollywood-fl,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,pembroke-pines,33024,18.3,26,,miami-to-pembroke-pines,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,pembroke-pines,33024,18.3,26,,miami-to-pembroke-pines,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,pembroke-pines,33024,18.3,26,,miami-to-pembroke-pines,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,pembroke-pines,33024,18.3,26,,miami-to-pembroke-pines,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,pembroke-pines,33024,18.3,26,,miami-to-pembroke-pines,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,miramar,33023,18.0,26,,miami-to-miramar,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,miramar,33023,18.0,26,,miami-to-miramar,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,miramar,33023,18.0,26,,miami-to-miramar,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,miramar,33023,18.0,26,,miami-to-miramar,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,miramar,33023,18.0,26,,miami-to-miramar,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,pompano-beach,33060,35.0,38,,miami-to-pompano-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,pompano-beach,33060,35.0,38,,miami-to-pompano-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,pompano-beach,33060,35.0,38,,miami-to-pompano-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,pompano-beach,33060,35.0,38,,miami-to-pompano-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,pompano-beach,33060,35.0,38,,miami-to-pompano-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
