from_city,to_city,distance_mi,drive_time_min,slug,is_active,house_size,min_cost,max_cost,avg_cost,movers,trucks,min_hours,max_hours
miami,miami-beach,5,5,miami-to-miami-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,miami-beach,5,5,miami-to-miami-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,miami-beach,5,5,miami-to-miami-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,miami-beach,5,5,miami-to-miami-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,miami-beach,5,5,miami-to-miami-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,miami-gardens,14,15,miami-to-miami-gardens,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,miami-gardens,14,15,miami-to-miami-gardens,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,miami-gardens,14,15,miami-to-miami-gardens,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,miami-gardens,14,15,miami-to-miami-gardens,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,miami-gardens,14,15,miami-to-miami-gardens,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,hialeah,9,10,miami-to-hialeah,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,hialeah,9,10,miami-to-hialeah,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,hialeah,9,10,miami-to-hialeah,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,hialeah,9,10,miami-to-hialeah,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,hialeah,9,10,miami-to-hialeah,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,coral-gables,6,7,miami-to-coral-gables,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,coral-gables,6,7,miami-to-coral-gables,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,coral-gables,6,7,miami-to-coral-gables,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,coral-gables,6,7,miami-to-coral-gables,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,coral-gables,6,7,miami-to-coral-gables,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,doral,12,13,miami-to-doral,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,doral,12,13,miami-to-doral,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,doral,12,13,miami-to-doral,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,doral,12,13,miami-to-doral,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,doral,12,13,miami-to-doral,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,kendall,13,15,miami-to-kendall,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,kendall,13,15,miami-to-kendall,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,kendall,13,15,miami-to-kendall,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,kendall,13,15,miami-to-kendall,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,kendall,13,15,miami-to-kendall,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,homestead,30,32,miami-to-homestead,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,homestead,30,32,miami-to-homestead,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,homestead,30,32,miami-to-homestead,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,homestead,30,32,miami-to-homestead,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,homestead,30,32,miami-to-homestead,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,cutler-bay,17,19,miami-to-cutler-bay,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,cutler-bay,17,19,miami-to-cutler-bay,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,cutler-bay,17,19,miami-to-cutler-bay,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,cutler-bay,17,19,miami-to-cutler-bay,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,cutler-bay,17,19,miami-to-cutler-bay,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,palmetto-bay,14,15,miami-to-palmetto-bay,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,palmetto-bay,14,15,miami-to-palmetto-bay,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,palmetto-bay,14,15,miami-to-palmetto-bay,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,palmetto-bay,14,15,miami-to-palmetto-bay,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,palmetto-bay,14,15,miami-to-palmetto-bay,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,pinecrest,11,12,miami-to-pinecrest,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,pinecrest,11,12,miami-to-pinecrest,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,pinecrest,11,12,miami-to-pinecrest,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,pinecrest,11,12,miami-to-pinecrest,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,pinecrest,11,12,miami-to-pinecrest,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,aventura,15,17,miami-to-aventura,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,aventura,15,17,miami-to-aventura,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,aventura,15,17,miami-to-aventura,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,aventura,15,17,miami-to-aventura,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,aventura,15,17,miami-to-aventura,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,north-miami,10,11,miami-to-north-miami,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,north-miami,10,11,miami-to-north-miami,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,north-miami,10,11,miami-to-north-miami,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,north-miami,10,11,miami-to-north-miami,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,north-miami,10,11,miami-to-north-miami,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,north-miami-beach,13,14,miami-to-north-miami-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,north-miami-beach,13,14,miami-to-north-miami-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,north-miami-beach,13,14,miami-to-north-miami-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,north-miami-beach,13,14,miami-to-north-miami-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,north-miami-beach,13,14,miami-to-north-miami-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,sunny-isles-beach,14,16,miami-to-sunny-isles-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,sunny-isles-beach,14,16,miami-to-sunny-isles-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,sunny-isles-beach,14,16,miami-to-sunny-isles-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
